,Ward,Number of Contributions,Average Contribution,Sum of Contributions,Median Contribution,Total Count of Business Licenses,LICENSE TERM START DATE,Affiliation,Animal Care License,Bicycle Messenger Service,Caterer's Liquor License,Children's Services Facility License,Commercial Garage,Commercial Passenger Vessel,Consumption on Premises - Incidental Activity,Emerging Business,Explosives,Filling Station,Food - Shared Kitchen,Food - Shared Kitchen - Supplemental,Heliports,Late Hour,License Manager,Limited Business License,Manufacturing Establishments,Mobile Food License,Motor Vehicle Services License,Music and Dance,Navy Pier Kiosk License,Not-For-Profit Club,Outdoor Patio,Package Goods,Pawnbroker,Peddler License,Pharmaceutical Representative,Pop-Up Establishment Host - Tier II,Pop-Up Establishment Host - Tier III,Pop-Up Retail User,Private Booting Registration,Public Place of Amusement,Raffles,Regulated Business License,Retail Food Establishment,Secondhand Dealer,Shared Housing Unit Operator,Shared Kitchen User,Special Event Food,Special Event Liquor,Tavern,Taxicab Two-Way Dispatch Service License,Tobacco,Valet Parking Operator,Weapons Dealer,Wholesale Food Establishment,Wrigley Field,Total Count of Crimes,ARSON,ASSAULT,BATTERY,BURGLARY,CONCEALED CARRY LICENSE VIOLATION,CRIM SEXUAL ASSAULT,CRIMINAL DAMAGE,CRIMINAL SEXUAL ASSAULT,CRIMINAL TRESPASS,DECEPTIVE PRACTICE,GAMBLING,HOMICIDE,HUMAN TRAFFICKING,INTERFERENCE WITH PUBLIC OFFICER,INTIMIDATION,KIDNAPPING,LIQUOR LAW VIOLATION,MOTOR VEHICLE THEFT,NARCOTICS,NON-CRIMINAL,OBSCENITY,OFFENSE INVOLVING CHILDREN,OTHER NARCOTIC VIOLATION,OTHER OFFENSE,PROSTITUTION,PUBLIC INDECENCY,PUBLIC PEACE VIOLATION,RITUALISM,ROBBERY,SEX OFFENSE,STALKING,THEFT,WEAPONS VIOLATION,Total Count of Microlenders,White2016,Black2016,Asian2016,Latino2016,Other2016
10,11,9.0,572.2222222222222,5150.0,500.0,1262,1262,0.0,7.0,0.0,6.0,25.0,17.0,0.0,45.0,0.0,0.0,13.0,0.0,1.0,1.0,0.0,0.0,441.0,54.0,5.0,46.0,0.0,0.0,5.0,11.0,17.0,0.0,11.0,6.0,0.0,0.0,0.0,0.0,9.0,5.0,182.0,226.0,6.0,1.0,10.0,0.0,1.0,16.0,0.0,24.0,0.0,0.0,71.0,0.0,6542,13.0,544.0,1044.0,261.0,5.0,13.0,834.0,16.0,157.0,726.0,0.0,11.0,0.0,16.0,11.0,4.0,15.0,244.0,127.0,0.0,1.0,40.0,0.0,392.0,1.0,0.0,18.0,0.0,198.0,36.0,8.0,1657.0,150.0,2,0.3564790377147923,0.04500701911447827,0.35631811884573306,0.22294796947228368,0.019247854852712635
11,12,15.0,473.3333333333333,7100.0,500.0,1782,1782,0.0,4.0,0.0,1.0,9.0,3.0,0.0,21.0,0.0,0.0,15.0,1.0,0.0,0.0,1.0,0.0,1084.0,40.0,5.0,63.0,1.0,0.0,1.0,0.0,20.0,1.0,40.0,0.0,0.0,0.0,13.0,0.0,5.0,3.0,139.0,220.0,4.0,0.0,9.0,0.0,0.0,7.0,0.0,41.0,1.0,1.0,29.0,0.0,6467,22.0,519.0,1360.0,267.0,8.0,9.0,823.0,28.0,114.0,370.0,0.0,25.0,0.0,34.0,11.0,1.0,7.0,253.0,244.0,0.0,1.0,86.0,0.0,455.0,4.0,0.0,64.0,0.0,186.0,61.0,8.0,1171.0,336.0,5,0.07927419709479945,0.013387842686278965,0.09458354781549298,0.8020683825685544,0.010686029834874147
12,13,2.0,750.0,1500.0,750.0,520,520,0.0,6.0,0.0,0.0,7.0,5.0,0.0,8.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,159.0,13.0,0.0,24.0,1.0,0.0,2.0,0.0,10.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,86.0,126.0,2.0,0.0,4.0,0.0,0.0,15.0,0.0,21.0,0.0,0.0,0.0,0.0,4690,7.0,355.0,792.0,253.0,30.0,7.0,749.0,17.0,76.0,563.0,0.0,4.0,0.0,6.0,2.0,2.0,1.0,171.0,94.0,0.0,2.0,72.0,0.0,371.0,0.0,0.0,22.0,0.0,119.0,34.0,5.0,811.0,125.0,3,0.29986860739638244,0.018907007364161833,0.00690248940993712,0.6689866603723323,0.005335235457186285
13,15,23.0,434.7826086956522,10000.0,250.0,625,625,0.0,3.0,0.0,0.0,4.0,1.0,0.0,3.0,0.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,204.0,4.0,12.0,41.0,0.0,0.0,1.0,1.0,15.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,68.0,136.0,3.0,0.0,5.0,0.0,0.0,11.0,0.0,35.0,0.0,0.0,13.0,0.0,7794,27.0,781.0,1846.0,252.0,7.0,16.0,1136.0,31.0,110.0,360.0,1.0,26.0,0.0,39.0,8.0,5.0,3.0,327.0,271.0,0.0,3.0,133.0,0.0,557.0,1.0,1.0,40.0,0.0,263.0,54.0,12.0,1040.0,444.0,2,0.04414199647617194,0.17994148005772076,0.014263122516765389,0.7557430668021053,0.005910334147236577
14,16,22.0,434.09090909090907,9550.0,250.0,763,763,0.0,0.0,0.0,0.0,17.0,0.0,0.0,8.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,253.0,13.0,1.0,68.0,0.0,0.0,0.0,0.0,24.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,78.0,169.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,54.0,0.0,0.0,0.0,0.0,16430,61.0,1762.0,3825.0,672.0,17.0,38.0,2020.0,79.0,298.0,652.0,10.0,75.0,2.0,94.0,13.0,11.0,8.0,590.0,871.0,0.0,3.0,204.0,0.0,1071.0,66.0,0.0,108.0,0.0,685.0,69.0,14.0,2154.0,958.0,3,0.014297048789497724,0.6096735166332943,0.0013475315500297784,0.3627344272010063,0.011947475826171965
15,17,26.0,575.9615384615385,14975.0,250.0,602,602,0.0,1.0,0.0,0.0,22.0,0.0,0.0,1.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,188.0,4.0,0.0,27.0,1.0,0.0,0.0,0.0,15.0,1.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,83.0,132.0,1.0,0.0,8.0,0.0,0.0,5.0,0.0,51.0,0.0,0.0,3.0,0.0,17558,27.0,1785.0,4162.0,715.0,20.0,32.0,2064.0,61.0,423.0,846.0,8.0,57.0,1.0,120.0,10.0,14.0,5.0,684.0,771.0,0.0,6.0,163.0,0.0,1199.0,2.0,1.0,102.0,0.0,582.0,69.0,15.0,2615.0,999.0,3,0.023013517264938173,0.7793314160779448,0.004262179896443026,0.17293000240687134,0.020462884353802703
16,18,3.0,175.0,525.0,150.0,793,793,0.0,4.0,0.0,0.0,24.0,1.0,0.0,8.0,0.0,0.0,8.0,0.0,2.0,0.0,1.0,0.0,308.0,9.0,0.0,55.0,0.0,0.0,1.0,3.0,15.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,133.0,143.0,6.0,0.0,2.0,0.0,0.0,8.0,0.0,27.0,0.0,0.0,5.0,0.0,7611,17.0,721.0,1330.0,391.0,2.0,14.0,920.0,26.0,162.0,758.0,4.0,18.0,0.0,16.0,5.0,10.0,2.0,388.0,97.0,0.0,0.0,95.0,0.0,577.0,0.0,0.0,49.0,0.0,216.0,30.0,6.0,1525.0,232.0,7,0.09998011893149962,0.5473479479012023,0.005674188589777397,0.3289376796535748,0.018060064923945938
17,19,22.0,586.3636363636364,12900.0,500.0,774,774,0.0,7.0,0.0,1.0,22.0,0.0,0.0,19.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,297.0,4.0,0.0,26.0,0.0,0.0,2.0,8.0,11.0,0.0,8.0,9.0,0.0,0.0,0.0,0.0,1.0,11.0,152.0,144.0,2.0,0.0,4.0,0.0,1.0,19.0,0.0,21.0,0.0,0.0,0.0,0.0,4500,5.0,318.0,598.0,224.0,3.0,6.0,459.0,8.0,155.0,935.0,0.0,4.0,0.0,5.0,4.0,8.0,3.0,164.0,76.0,0.0,5.0,85.0,0.0,386.0,1.0,0.0,27.0,0.0,83.0,28.0,4.0,869.0,37.0,5,0.6458978471397447,0.25466419220544023,0.009530005993732197,0.07199683081034418,0.01791112385073856
18,20,7.0,173.57142857142858,1215.0,25.0,608,608,0.0,3.0,0.0,1.0,17.0,11.0,0.0,5.0,0.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,171.0,13.0,0.0,25.0,1.0,0.0,1.0,2.0,13.0,4.0,47.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,103.0,118.0,3.0,0.0,4.0,0.0,0.0,6.0,0.0,43.0,0.0,0.0,4.0,0.0,16700,34.0,1670.0,4294.0,578.0,9.0,34.0,1962.0,71.0,312.0,819.0,3.0,61.0,0.0,81.0,11.0,11.0,4.0,678.0,646.0,0.0,3.0,219.0,0.0,1235.0,0.0,0.0,97.0,0.0,595.0,91.0,16.0,2349.0,817.0,5,0.0519311278451117,0.7706816284081799,0.016794366929099545,0.14221055013107836,0.018382326686530545
19,21,25.0,602.0,15050.0,500.0,696,696,0.0,3.0,0.0,0.0,24.0,1.0,0.0,4.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,231.0,1.0,0.0,24.0,0.0,0.0,0.0,2.0,21.0,3.0,32.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,116.0,138.0,4.0,0.0,9.0,0.0,0.0,9.0,0.0,50.0,0.0,0.0,4.0,0.0,16911,41.0,1614.0,3442.0,563.0,14.0,40.0,2202.0,56.0,371.0,1151.0,4.0,62.0,0.0,105.0,5.0,14.0,8.0,656.0,590.0,0.0,1.0,180.0,0.0,1109.0,3.0,0.0,73.0,0.0,553.0,61.0,19.0,3224.0,750.0,7,0.004834673915420072,0.9718267365914,0.0008383827598994344,0.010577323618569084,0.011922883114711477
20,22,33.0,425.75757575757575,14050.0,250.0,809,809,0.0,4.0,0.0,0.0,8.0,3.0,0.0,11.0,0.0,0.0,11.0,0.0,0.0,0.0,2.0,0.0,296.0,29.0,16.0,57.0,1.0,0.0,0.0,0.0,16.0,4.0,32.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,86.0,159.0,4.0,0.0,2.0,0.0,1.0,8.0,0.0,35.0,0.0,0.0,19.0,0.0,6721,19.0,610.0,1387.0,241.0,10.0,17.0,778.0,32.0,110.0,380.0,0.0,35.0,0.0,22.0,4.0,6.0,17.0,326.0,317.0,0.0,2.0,99.0,0.0,471.0,35.0,1.0,101.0,0.0,252.0,43.0,2.0,1055.0,349.0,2,0.04302514776295384,0.05746835304767308,0.004395758130591965,0.8907530414402556,0.004357699618525436
21,23,3.0,333.3333333333333,1000.0,250.0,1094,1094,0.0,10.0,0.0,2.0,11.0,5.0,0.0,61.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,442.0,25.0,0.0,43.0,0.0,0.0,1.0,2.0,21.0,1.0,30.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,101.0,247.0,8.0,0.0,6.0,0.0,3.0,17.0,0.0,37.0,0.0,0.0,9.0,0.0,5242,14.0,464.0,877.0,226.0,19.0,7.0,644.0,19.0,121.0,665.0,0.0,10.0,0.0,4.0,8.0,3.0,8.0,205.0,162.0,1.0,2.0,79.0,0.0,405.0,0.0,2.0,31.0,0.0,121.0,29.0,5.0,974.0,137.0,2,0.2570325489424874,0.023022249919075363,0.01047414394719724,0.7049488171989048,0.004522239992335231
