CONTRIBUTION_ID,PERIOD_START,PERIOD_END,CONTRIBUTION_DATE,RECIPIENT,AMOUNT,LOBBYIST_ID,LOBBYIST_FIRST_NAME,LOBBYIST_LAST_NAME,CREATED_DATE
928572528,07/01/2014,09/30/2014,07/17/2014,FRIENDS OF ALYX PATTISON,40.00,4048,ANDREW,PETERS,10/16/2014
2859992346,01/01/2019,03/31/2019,03/25/2019,CITIZENS FOR ALEX ACEVEDO,250.00,4193,JOHN,DUNN,04/18/2019
1054755736,01/01/2012,06/30/2012,06/12/2012,THE BURNHAM COMMITTEE,1500.00,4007,JOHN,"KELLY, JR.",01/14/2013
1913460228,10/01/2012,12/31/2012,12/06/2012,ALD DEBRA SILVERSTEIN (FOR FUNDRAISER),500.00,4254,ARNOLD,HARRIS,01/22/2013
33201666,04/01/2014,06/30/2014,05/20/2014,CITIZENS TO ELECT WILLIE COCHRAN,500.00,4183,MICHAEL,SUTTON,07/19/2014
3802112149,04/01/2018,06/30/2018,05/22/2018,CITIZENS FOR DEB MELL,500.00,3894,JERRY,MICKELSON,07/11/2018
1340174629,10/01/2016,12/31/2016,10/26/2016,ALDERMAN PAT DOWELL,300.00,3930,DAVID,DRING,01/10/2017
3453864800,04/01/2018,06/30/2018,04/13/2018,"THE BURNHAM COMMITTEE (VIA NEAL & LEROY, LLC)",500.00,3753,LANGDON,NEAL,01/17/2019
887319989,10/01/2013,12/31/2013,12/02/2013,MATT STEWART,0.00,5123,GARY,ENGLE,12/02/2013
2903956213,07/01/2016,09/30/2016,09/21/2016,NEIGHBORS FOR HARRY OSTERMAN,250.00,3894,JERRY,MICKELSON,10/02/2016
138897363,07/01/2018,09/30/2018,07/16/2018,FRIENDS OF CHRIS TALIAFERRO,150.00,11381,KATHY,BROWN,10/22/2018
1390618677,07/01/2018,09/30/2018,08/01/2018,FRIENDS OF HEATHER WAY KITZES,250.00,4260,MICHAEL,LUFRANO,10/17/2018
2132744587,01/01/2014,03/31/2014,03/10/2014,FRIENDS OF LESLIE HAIRSTON,1500.00,4183,MICHAEL,SUTTON,04/21/2014
