Id,Label,timeset,count,modularity_class,clustering,triangles,eigencentrality
3737,3737,,1,679,0,0,0
23341,23341,,1,680,0,0,0
4293,4293,,1,681,0,0,0
10202,10202,,1,682,0,0,0
13561,13561,,1,683,0,0,0
9163,9163,,1,684,0,0,0
11161,11161,,1,685,0,0,0
14501,14501,,1,686,0,0,0
5581,5581,,1,687,0,0,0
10741,10741,,1,688,0,0,0
4325,4325,,1,689,0,0,0
4642,4642,,2,690,0,0,0
7401,7401,,2,691,0,0,0
13322,13322,,1,692,0,0,0
8801,8801,,1,693,0,0,0
20228,20228,,1,694,0,0,0
3848,3848,,1,695,0,0,0
3898,3898,,1,696,0,0,0
4703,4703,,1,697,0,0,0
24146,24146,,1,698,0,0,0
14381,14381,,1,699,0,0,0
3742,3742,,1,700,0,0,0
4141,4141,,1,701,0,0,0
4105,4105,,1,702,0,0,0
5621,5621,,1,703,0,0,0
14181,14181,,1,704,0,0,0
7044,7044,,1,705,0,0,0
18823,18823,,1,706,0,0,0
6081,6081,,1,707,0,0,0
4188,4188,,4,708,0,0,0
19186,19186,,1,709,0,0,0
19121,19121,,1,710,0,0,0
3828,3828,,2,711,0,0,0
23823,23823,,1,712,0,0,0
17604,17604,,1,713,0,0,0
4643,4643,,1,714,0,0,0
4191,4191,,2,715,0,0,0
4046,4046,,1,716,0,0,0
10701,10701,,1,717,0,0,0
22903,22903,,1,718,0,0,0
7143,7143,,1,719,0,0,0
3933,3933,,3,720,0,0,0
21741,21741,,1,721,0,0,0
17221,17221,,1,722,0,0,0
15461,15461,,1,723,0,0,0
5103,5103,,1,724,0,0,0
18841,18841,,1,725,0,0,0
21583,21583,,1,726,0,0,0
22321,22321,,1,727,0,0,0
13001,13001,,1,728,0,0,0
19185,19185,,1,729,0,0,0
4026,4026,,1,730,0,0,0
20062,20062,,1,731,0,0,0
15301,15301,,1,732,0,0,0
22962,22962,,1,733,0,0,0
4602,4602,,1,734,0,0,0
3829,3829,,1,735,0,0,0
12941,12941,,1,736,0,0,0
9821,9821,,1,737,0,0,0
9641,9641,,1,738,0,0,0
16221,16221,,1,739,0,0,0
4230,4230,,1,740,0,0,0
4279,4279,,1,741,0,0,0
15561,15561,,1,742,0,0,0
20304,20304,,1,743,0,0,0
6901,6901,,1,744,0,0,0
8381,8381,,2,745,0,0,0
6521,6521,,1,746,0,0,0
8901,8901,,1,747,0,0,0
19343,19343,,1,748,0,0,0
11841,11841,,1,749,0,0,0
20041,20041,,1,750,0,0,0
20821,20821,,1,751,0,0,0
15481,15481,,1,752,0,0,0
21061,21061,,1,753,0,0,0
4281,4281,,1,754,0,0,0
10041,10041,,2,755,0,0,0
10261,10261,,1,756,0,0,0
4661,4661,,1,757,0,0,0
19182,19182,,1,758,0,0,0
19184,19184,,1,759,0,0,0
13341,13341,,1,760,0,0,0
9121,9121,,1,761,0,0,0
23523,23523,,1,762,0,0,0
16781,16781,,1,763,0,0,0
20302,20302,,2,764,0,0,0
18606,18606,,1,765,0,0,0
4263,4263,,1,766,0,0,0
21582,21582,,1,767,0,0,0
22542,22542,,1,768,0,0,0
5502,5502,,1,769,0,0,0
4119,4119,,1,770,0,0,0
7901,7901,,1,771,0,0,0
4132,4132,,1,772,0,0,0
8581,8581,,1,773,0,0,0
19161,19161,,1,774,0,0,0
6662,6662,,1,775,0,0,0
9342,9342,,1,776,0,0,0
14185,14185,,1,777,0,0,0
7861,7861,,1,778,0,0,0
20961,20961,,1,779,0,0,0
19921,19921,,1,780,0,0,0
13741,13741,,1,781,0,0,0
13081,13081,,1,782,0,0,0
17162,17162,,1,783,0,0,0
21141,21141,,1,784,0,0,0
14281,14281,,1,785,0,0,0
3880,3880,,1,786,0,0,0
22921,22921,,1,787,0,0,0
21181,21181,,1,788,0,0,0
21761,21761,,1,789,0,0,0
20546,20546,,2,790,0,0,0
10961,10961,,1,791,0,0,0
22881,22881,,1,792,0,0,0
17161,17161,,1,793,0,0,0
14881,14881,,1,794,0,0,0
19341,19341,,1,795,0,0,0
13121,13121,,2,796,0,0,0
11081,11081,,1,797,0,0,0
4220,4220,,2,798,0,0,0
8261,8261,,1,799,0,0,0
19741,19741,,1,800,0,0,0
4356,4356,,1,801,0,0,0
20381,20381,,1,802,0,0,0
6223,6223,,1,803,0,0,0
21621,21621,,1,804,0,0,0
19401,19401,,1,805,0,0,0
17721,17721,,1,806,0,0,0
3810,3810,,1,807,0,0,0
3949,3949,,1,808,0,0,0
5702,5702,,1,809,0,0,0
3918,3918,,1,810,0,0,0
4139,4139,,1,811,0,0,0
10081,10081,,1,812,0,0,0
4181,4181,,1,813,0,0,0
17842,17842,,1,814,0,0,0
10881,10881,,1,815,0,0,0
22123,22123,,1,816,0,0,0
23924,23924,,1,817,0,0,0
21341,21341,,1,818,0,0,0
22362,22362,,1,819,0,0,0
18041,18041,,1,820,0,0,0
24285,24285,,1,821,0,0,0
4215,4215,,1,822,0,0,0
21601,21601,,1,823,0,0,0
24281,24281,,1,824,0,0,0
4645,4645,,1,825,0,0,0
21342,21342,,1,826,0,0,0
6141,6141,,1,827,0,0,0
