Source,Target,Weight
3754,4361,2
3753,4094,2
20343,14481,2
11241,13202,2
11241,4348,6
11241,4116,4
13202,4348,2
4304,4094,2
4304,4005,2
4304,4133,2
4304,3970,2
4348,4116,16
4348,4239,2
4348,8361,2
4348,3881,7
4348,4204,2
12361,20226,2
12361,14001,2
16801,16662,2
6082,24643,2
3960,6825,2
3960,4081,2
9481,4055,4
9481,3852,2
9481,3931,2
9481,3995,3
6561,14641,3
6561,11701,2
6561,3782,6
25008,22322,2
20282,14081,8
20282,3809,6
20282,11942,8
20282,4030,2
8162,6104,6
8162,4019,3
8162,3743,10
8162,3864,6
8162,20528,4
14641,11701,2
14641,3782,5
17701,4236,3
11701,3782,10
11701,4193,3
11701,14921,2
6825,4081,35
6825,3782,2
6825,18181,15
6825,22961,5
6825,6321,2
6825,3930,2
6825,3739,2
6825,14741,4
6825,13702,13
6825,6222,2
6825,7423,3
6825,7461,3
6825,14942,3
6825,4276,2
6825,6843,2
6825,7221,2
6825,4338,2
6825,4001,4
6825,12961,5
6825,25187,4
21101,3779,2
4081,3782,2
4081,18181,15
4081,22961,4
4081,6321,2
4081,3930,2
4081,3739,2
4081,14741,3
4081,13702,14
4081,7423,3
4081,7461,3
4081,14941,2
4081,14942,3
4081,6227,2
4081,4276,3
4081,6843,3
4081,7221,2
4081,4338,4
4081,4001,2
4081,12961,5
4081,25187,4
19861,3845,11
3782,10921,4
6104,3743,3
6104,20528,2
4173,4094,6
4173,4288,5
15423,15424,3
15423,15425,3
4193,14921,29
14081,3809,5
14081,11942,10
14081,4030,4
4052,3899,11
4052,4168,3
15424,15425,3
4278,3946,9
4278,3813,5
4278,7501,2
5967,5105,3
18561,3864,2
18181,22961,2
18181,13702,6
18181,7423,2
18181,14942,2
18181,12961,2
4094,4303,2
4094,4288,5
18883,18801,2
18703,18741,3
4013,13664,2
16081,17301,2
9382,5481,2
18281,18282,2
3899,4168,3
13961,20208,2
13381,4825,2
13381,3871,2
11721,12242,2
3896,3976,2
3896,3975,2
3896,4187,2
16021,14042,3
22961,25187,3
4019,3743,3
4341,10222,2
3743,3864,6
3743,20528,4
4302,9961,2
4302,3958,3
4302,8043,2
4302,3758,2
4302,9241,2
4302,12261,2
16643,15641,2
16601,20362,7
16601,20083,4
5401,4209,2
5401,5281,3
5401,5862,2
6321,4140,2
3930,3739,61
7441,3779,4
4163,11421,2
4163,3854,2
4077,4031,2
14741,13702,3
14741,12961,2
4228,3746,2
4228,4151,2
4078,3811,4
4096,3827,3
13702,14942,2
13702,12961,4
4236,4267,4
4238,3881,2
3946,7501,2
3767,3995,3
6222,4001,2
18781,11421,2
20362,20083,3
9961,3958,2
9961,8043,2
9961,9241,2
9961,12261,2
3958,8043,2
3958,3758,2
3958,9241,2
3958,12261,2
6522,4319,3
7423,4001,2
3809,11942,8
3809,4030,4
8043,9241,2
8043,12261,2
20223,20164,2
20223,18861,2
11942,4030,3
4823,4825,2
4823,3871,2
4823,4824,2
4825,3871,3
4825,4824,2
6021,9901,2
4177,3942,5
4224,4360,2
4224,7381,2
5322,5321,2
12901,4360,2
12901,7381,2
12321,13301,2
4277,5107,2
7461,6227,2
7461,4001,3
20164,18861,2
4209,5281,3
4209,5862,2
14941,4276,2
4249,4212,2
5281,5862,3
16042,5862,3
3908,4338,2
3908,4001,3
6848,4036,2
6848,4035,2
4137,3921,2
9241,12261,2
3938,3791,2
4360,7381,3
3871,4824,2
3976,4187,2
4036,4035,2
6523,22301,2
4272,3787,2
4000,4329,3
25147,25148,2
25186,25227,2
