Source,Target,Weight
CITIZENS TO ELECT EMMA MITTS,MICHAEL SCOTT,4
CITIZENS TO ELECT EMMA MITTS,CITIZENS FOR WAGUESPACK,7
CITIZENS TO ELECT EMMA MITTS,CITIZENS TO ELECT ANTHONY BEALE,6
CITIZENS TO ELECT EMMA MITTS,CITIZENS FOR MALDONADO,4
CITIZENS TO ELECT EMMA MITTS,FRIENDS OF SOPHIA KING,4
CITIZENS TO ELECT EMMA MITTS,FRIENDS OF MICHELE SMITH,9
CITIZENS TO ELECT EMMA MITTS,FRIENDS OF MATT O'SHEA,10
CITIZENS TO ELECT EMMA MITTS,CITIZENS FOR ALDERMAN MICHAEL SCOTT JR.,3
CITIZENS TO ELECT EMMA MITTS,NEIGHBORS FOR DANIEL LA SPATA,3
CITIZENS TO ELECT EMMA MITTS,CITIZENS TO ELECT DAVID MOORE,5
CITIZENS TO ELECT EMMA MITTS,CITIZENS FOR REBOYRAS,5
CITIZENS TO ELECT EMMA MITTS,FRIENDS OF WALTER BURNETT,4
CITIZENS TO ELECT EMMA MITTS,FRIENDS OF GEORGE CARDENAS,5
CITIZENS TO ELECT EMMA MITTS,FRIENDS OF RODERICK T. SAWYER,5
CITIZENS TO ELECT EMMA MITTS,CITIZENS FOR ALDERMAN REILLY,3
CITIZENS TO ELECT EMMA MITTS,FRIENDS OF LESLIE HAIRSTON,6
CITIZENS TO ELECT EMMA MITTS,NEIGHBORS FOR HARRY OSTERMAN,4
CITIZENS TO ELECT EMMA MITTS,CITIZENS FOR JOE MOORE,10
CITIZENS TO ELECT EMMA MITTS,FRIENDS OF RAYMOND LOPEZ,6
CITIZENS TO ELECT EMMA MITTS,FRIENDS OF NICHOLAS SPOSATO,3
CITIZENS TO ELECT EMMA MITTS,CITIZENS FOR CAPPLEMAN,9
CITIZENS TO ELECT EMMA MITTS,FRIENDS OF MICHELLE HARRIS,6
CITIZENS TO ELECT EMMA MITTS,FRIENDS OF GEORGE A CARDENAS,3
CITIZENS TO ELECT EMMA MITTS,CITIZENS FOR CARRIE AUSTIN,5
CITIZENS TO ELECT EMMA MITTS,FRIENDS OF JOANN THOMPSON,3
CITIZENS TO ELECT EMMA MITTS,FRIENDS OF PATRICK D. THOMPSON,3
CITIZENS TO ELECT EMMA MITTS,FRIENDS OF GREG MITCHELL,3
CITIZENS TO ELECT EMMA MITTS,FRIENDS OF GEORGE A. CARDENAS,4
CITIZENS TO ELECT EMMA MITTS,FRIENDS OF DEBRA SILVERSTEIN,4
CITIZENS TO ELECT EMMA MITTS,FRIENDS OF EDWARD M BURKE,3
CITIZENS TO ELECT EMMA MITTS,FRIENDS OF TABARES,3
CITIZENS FOR TUNNEY,FRIENDS OF WALTER BURNETT JR.,5
CITIZENS FOR TUNNEY,MICHAEL SCOTT,3
CITIZENS FOR TUNNEY,"FRIENDS OF WALTER BURNETT, JR",4
CITIZENS FOR TUNNEY,CITIZENS FOR WAGUESPACK,14
CITIZENS FOR TUNNEY,CITIZENS TO ELECT ANTHONY BEALE,9
CITIZENS FOR TUNNEY,FRIENDS OF MICHAEL D. RODRIGUEZ,3
CITIZENS FOR TUNNEY,CITIZENS FOR MALDONADO,5
CITIZENS FOR TUNNEY,FRIENDS OF SOPHIA KING,9
CITIZENS FOR TUNNEY,FRIENDS OF MICHELE SMITH,17
CITIZENS FOR TUNNEY,FRIENDS OF MATT O'SHEA,10
CITIZENS FOR TUNNEY,CITIZENS FOR ALDERMAN MICHAEL SCOTT JR.,5
CITIZENS FOR TUNNEY,NEIGHBORS FOR DANIEL LA SPATA,3
CITIZENS FOR TUNNEY,CITIZENS TO ELECT DAVID MOORE,6
CITIZENS FOR TUNNEY,ALDERMAN GILBERT VILLEGAS,3
CITIZENS FOR TUNNEY,CITIZENS FOR REBOYRAS,6
CITIZENS FOR TUNNEY,FRIENDS OF WALTER BURNETT,9
CITIZENS FOR TUNNEY,FRIENDS OF MICHELLE SMITH,5
CITIZENS FOR TUNNEY,FRIENDS OF GEORGE CARDENAS,7
CITIZENS FOR TUNNEY,FRIENDS OF RODERICK T. SAWYER,12
CITIZENS FOR TUNNEY,ALDERMAN SCOTT WAGUESPACK,4
CITIZENS FOR TUNNEY,CITIZENS FOR ALDERMAN REILLY,3
CITIZENS FOR TUNNEY,FRIENDS OF LESLIE HAIRSTON,7
CITIZENS FOR TUNNEY,NEIGHBORS FOR HARRY OSTERMAN,8
CITIZENS FOR TUNNEY,CITIZENS FOR JOE MOORE,15
CITIZENS FOR TUNNEY,ALDERMAN BRENDAN REILLY,4
CITIZENS FOR TUNNEY,FRIENDS OF RAYMOND LOPEZ,6
CITIZENS FOR TUNNEY,ALDERMAN GEORGE CARDENAS,3
CITIZENS FOR TUNNEY,ALDERMAN MICHELLE A. HARRIS,3
CITIZENS FOR TUNNEY,ALDERMAN CARRIE M. AUSTIN,3
CITIZENS FOR TUNNEY,FRIENDS OF NICHOLAS SPOSATO,5
CITIZENS FOR TUNNEY,ALDERMAN JAMES CAPPLEMAN,3
CITIZENS FOR TUNNEY,FRIENDS OF EDWARD M. BURKE,9
CITIZENS FOR TUNNEY,FRIENDS OF RAYMOND A. LOPEZ,5
CITIZENS FOR TUNNEY,FRIENDS OF ED BURKE,6
CITIZENS FOR TUNNEY,ALDERMAN PAT DOWELL,3
CITIZENS FOR TUNNEY,CITIZENS FOR CAPPLEMAN,16
CITIZENS FOR TUNNEY,FRIENDS OF MICHELLE HARRIS,8
CITIZENS FOR TUNNEY,FRIENDS OF GEORGE A CARDENAS,3
CITIZENS FOR TUNNEY,CITIZENS FOR CARRIE AUSTIN,4
CITIZENS FOR TUNNEY,ALDERMAN TOM TUNNEY,4
CITIZENS FOR TUNNEY,FRIENDS OF PATRICK D. THOMPSON,4
CITIZENS FOR TUNNEY,ALDERMAN RAYMOND LOPEZ,4
CITIZENS FOR TUNNEY,ALDERMAN JOANN THOMPSON,3
CITIZENS FOR TUNNEY,ALDERMAN MICHELE SMITH,3
CITIZENS FOR TUNNEY,ALDERMAN JOE MOORE,4
CITIZENS FOR TUNNEY,FRIENDS OF EDWARD BURKE,3
CITIZENS FOR TUNNEY,ALDERMAN CARRIE AUSTIN,3
CITIZENS FOR TUNNEY,ALDERMAN LESLIE HAIRSTON,3
CITIZENS FOR TUNNEY,FRIENDS OF RODERICK T SAWYER,3
CITIZENS FOR TUNNEY,ALDERMAN WALTER BURNETT,6
CITIZENS FOR TUNNEY,24TH WARD DEMOCRATIC ORGANIZATION ALD. MICHAEL SCOTT,3
CITIZENS FOR TUNNEY,FRIENDS OF GEORGE A. CARDENAS,7
CITIZENS FOR TUNNEY,FRIENDS OF CARRIE M. AUSTIN,7
CITIZENS FOR TUNNEY,FRIENDS OF PATRICK THOMPSON,5
CITIZENS FOR TUNNEY,ALDERMAN ANTHONY BEALE,3
CITIZENS FOR TUNNEY,ALDERMAN EDWARD M. BURKE,3
CITIZENS FOR TUNNEY,THE BURNHAM COMMITTEE ALDERMAN ED BURKE,3
CITIZENS FOR TUNNEY,ALDERMAN HARRY OSTERMAN,3
CITIZENS FOR TUNNEY,"COMMITTEE TO ELECT HOWARD BROOKINS, JR.",3
CITIZENS FOR TUNNEY,FRIENDS OF DEBRA SILVERSTEIN,6
CITIZENS FOR TUNNEY,FRIENDS OF EDWARD M BURKE,3
CITIZENS FOR TUNNEY,ERVIN FOR COMMITTEEMAN,4
CITIZENS FOR TUNNEY,ALDERMAN RODERICK T. SAWYER,3
CITIZENS FOR TUNNEY,ALDERMAN DEBRA SILVERSTEIN,3
CITIZENS FOR TUNNEY,"ALDERMAN WALTER BURNETT, JR.",3
CITIZENS FOR TUNNEY,"COMMITTEE TO ELECT HOWARD B. BROOKINS, JR.",3
FRIENDS OF WALTER BURNETT JR.,CITIZENS FOR WAGUESPACK,6
FRIENDS OF WALTER BURNETT JR.,FRIENDS OF MICHELE SMITH,6
FRIENDS OF WALTER BURNETT JR.,CITIZENS FOR JASON ERVIN,3
FRIENDS OF WALTER BURNETT JR.,CITIZENS FOR REBOYRAS,3
FRIENDS OF WALTER BURNETT JR.,FRIENDS OF WALTER BURNETT,4
FRIENDS OF WALTER BURNETT JR.,FRIENDS OF MICHELLE SMITH,3
FRIENDS OF WALTER BURNETT JR.,NEIGHBORS FOR HARRY OSTERMAN,3
FRIENDS OF WALTER BURNETT JR.,CITIZENS FOR JOE MOORE,5
FRIENDS OF WALTER BURNETT JR.,FRIENDS OF ED BURKE,6
FRIENDS OF WALTER BURNETT JR.,CITIZENS FOR CAPPLEMAN,4
MICHAEL SCOTT,CITIZENS FOR WAGUESPACK,3
MICHAEL SCOTT,FRIENDS OF MICHELE SMITH,3
MICHAEL SCOTT,FRIENDS OF WALTER BURNETT,4
MICHAEL SCOTT,FRIENDS OF GEORGE CARDENAS,4
MICHAEL SCOTT,FRIENDS OF RAYMOND LOPEZ,3
MICHAEL SCOTT,CITIZENS FOR CAPPLEMAN,4
MICHAEL SCOTT,CITIZENS FOR BRENDAN REILLY,3
CITIZENS FOR MICHAEL SCOTT,CITIZENS FOR WAGUESPACK,3
CITIZENS FOR MICHAEL SCOTT,FRIENDS OF WALTER BURNETT,3
"FRIENDS OF WALTER BURNETT, JR",FRIENDS OF MICHELE SMITH,3
"FRIENDS OF WALTER BURNETT, JR",CITIZENS FOR CAPPLEMAN,3
CITIZENS FOR WAGUESPACK,CITIZENS TO ELECT ANTHONY BEALE,7
CITIZENS FOR WAGUESPACK,CITIZENS FOR MALDONADO,4
CITIZENS FOR WAGUESPACK,FRIENDS OF SOPHIA KING,7
CITIZENS FOR WAGUESPACK,FRIENDS OF MICHELE SMITH,13
CITIZENS FOR WAGUESPACK,FRIENDS OF MATT O'SHEA,8
CITIZENS FOR WAGUESPACK,FRIENDS OF MICHAEL D RODRIGUEZ,3
CITIZENS FOR WAGUESPACK,CITIZENS TO ELECT DAVID MOORE,4
CITIZENS FOR WAGUESPACK,SUSAN SADLOWSKI GARZA,3
CITIZENS FOR WAGUESPACK,ALDERMAN GILBERT VILLEGAS,3
CITIZENS FOR WAGUESPACK,CITIZENS FOR REBOYRAS,5
CITIZENS FOR WAGUESPACK,FRIENDS OF WALTER BURNETT,8
CITIZENS FOR WAGUESPACK,FRIENDS OF MICHELLE SMITH,4
CITIZENS FOR WAGUESPACK,FRIENDS OF GEORGE CARDENAS,6
CITIZENS FOR WAGUESPACK,FRIENDS OF RODERICK T. SAWYER,6
CITIZENS FOR WAGUESPACK,ALDERMAN SCOTT WAGUESPACK,4
CITIZENS FOR WAGUESPACK,CITIZENS FOR ALDERMAN REILLY,4
CITIZENS FOR WAGUESPACK,FRIENDS OF LESLIE HAIRSTON,6
CITIZENS FOR WAGUESPACK,NEIGHBORS FOR HARRY OSTERMAN,4
CITIZENS FOR WAGUESPACK,CITIZENS FOR JOE MOORE,15
CITIZENS FOR WAGUESPACK,ALDERMAN BRENDAN REILLY,3
CITIZENS FOR WAGUESPACK,FRIENDS OF RAYMOND LOPEZ,6
CITIZENS FOR WAGUESPACK,ALDERMAN GEORGE CARDENAS,4
CITIZENS FOR WAGUESPACK,ALDERMAN MICHELLE A. HARRIS,3
CITIZENS FOR WAGUESPACK,ALDERMAN CARRIE M. AUSTIN,3
CITIZENS FOR WAGUESPACK,FRIENDS OF NICHOLAS SPOSATO,5
CITIZENS FOR WAGUESPACK,ALDERMAN JAMES CAPPLEMAN,3
CITIZENS FOR WAGUESPACK,FRIENDS OF EDWARD M. BURKE,7
CITIZENS FOR WAGUESPACK,FRIENDS OF RAYMOND A. LOPEZ,3
CITIZENS FOR WAGUESPACK,FRIENDS OF ED BURKE,7
CITIZENS FOR WAGUESPACK,ALDERMAN PAT DOWELL,3
CITIZENS FOR WAGUESPACK,CITIZENS FOR CAPPLEMAN,10
CITIZENS FOR WAGUESPACK,COMMITTEE TO ELECT HOWARD BROOKINS,3
CITIZENS FOR WAGUESPACK,FRIENDS OF MICHELLE HARRIS,6
CITIZENS FOR WAGUESPACK,CITIZENS FOR CARRIE AUSTIN,5
CITIZENS FOR WAGUESPACK,ALDERMAN TOM TUNNEY,3
CITIZENS FOR WAGUESPACK,ALDERMAN RAYMOND LOPEZ,3
CITIZENS FOR WAGUESPACK,ALDERMAN JOANN THOMPSON,3
CITIZENS FOR WAGUESPACK,ALDERMAN MICHELE SMITH,3
CITIZENS FOR WAGUESPACK,ALDERMAN JOE MOORE,4
CITIZENS FOR WAGUESPACK,ALDERMAN CARRIE AUSTIN,3
CITIZENS FOR WAGUESPACK,ALDERMAN LESLIE HAIRSTON,4
CITIZENS FOR WAGUESPACK,ALDERMAN WALTER BURNETT,6
CITIZENS FOR WAGUESPACK,24TH WARD DEMOCRATIC ORGANIZATION ALD. MICHAEL SCOTT,3
CITIZENS FOR WAGUESPACK,CITIZENS FOR ARIEL REBOYRAS,3
CITIZENS FOR WAGUESPACK,FRIENDS OF CARRIE M. AUSTIN,5
CITIZENS FOR WAGUESPACK,CITIZENS FOR MICHAEL SCOTT JR.,3
CITIZENS FOR WAGUESPACK,ALDERMAN ANTHONY BEALE,3
CITIZENS FOR WAGUESPACK,ALDERMAN EDWARD M. BURKE,3
CITIZENS FOR WAGUESPACK,THE BURNHAM COMMITTEE ALDERMAN ED BURKE,3
CITIZENS FOR WAGUESPACK,CITIZENS FOR MICHELE SMITH,3
CITIZENS FOR WAGUESPACK,ALDERMAN HARRY OSTERMAN,3
CITIZENS FOR WAGUESPACK,"COMMITTEE TO ELECT HOWARD BROOKINS, JR.",3
CITIZENS FOR WAGUESPACK,FRIENDS OF EDWARD M BURKE,4
CITIZENS FOR WAGUESPACK,ALDERMAN RODERICK T. SAWYER,3
CITIZENS FOR WAGUESPACK,ALDERMAN DEBRA SILVERSTEIN,3
CITIZENS FOR WAGUESPACK,CITIZENS FOR BRENDAN REILLY,3
CITIZENS FOR WAGUESPACK,"ALDERMAN WALTER BURNETT, JR.",3
CITIZENS FOR WAGUESPACK,FRIENDS OF PATRICK D THOMPSON FOR ALDERMAN,3
CITIZENS TO ELECT ANTHONY BEALE,CITIZENS FOR MALDONADO,4
CITIZENS TO ELECT ANTHONY BEALE,FRIENDS OF SOPHIA KING,6
CITIZENS TO ELECT ANTHONY BEALE,FRIENDS OF MICHELE SMITH,7
CITIZENS TO ELECT ANTHONY BEALE,FRIENDS OF MATT O'SHEA,8
CITIZENS TO ELECT ANTHONY BEALE,CITIZENS TO ELECT DAVID MOORE,6
CITIZENS TO ELECT ANTHONY BEALE,CITIZENS FOR REBOYRAS,4
CITIZENS TO ELECT ANTHONY BEALE,FRIENDS OF WALTER BURNETT,4
CITIZENS TO ELECT ANTHONY BEALE,FRIENDS OF MICHELLE SMITH,3
CITIZENS TO ELECT ANTHONY BEALE,FRIENDS OF GEORGE CARDENAS,4
CITIZENS TO ELECT ANTHONY BEALE,FRIENDS OF RODERICK T. SAWYER,7
CITIZENS TO ELECT ANTHONY BEALE,FRIENDS OF LESLIE HAIRSTON,6
CITIZENS TO ELECT ANTHONY BEALE,NEIGHBORS FOR HARRY OSTERMAN,5
CITIZENS TO ELECT ANTHONY BEALE,CITIZENS FOR JOE MOORE,9
CITIZENS TO ELECT ANTHONY BEALE,FRIENDS OF RAYMOND LOPEZ,3
CITIZENS TO ELECT ANTHONY BEALE,FRIENDS OF NICHOLAS SPOSATO,3
CITIZENS TO ELECT ANTHONY BEALE,FRIENDS OF EDWARD M. BURKE,3
CITIZENS TO ELECT ANTHONY BEALE,FRIENDS OF ED BURKE,3
CITIZENS TO ELECT ANTHONY BEALE,ALDERMAN PAT DOWELL,3
CITIZENS TO ELECT ANTHONY BEALE,CITIZENS FOR CAPPLEMAN,6
CITIZENS TO ELECT ANTHONY BEALE,COMMITTEE TO ELECT HOWARD BROOKINS,3
CITIZENS TO ELECT ANTHONY BEALE,FRIENDS OF CARRIE AUSTIN 34TH WARD COMMITTEEMAN,3
CITIZENS TO ELECT ANTHONY BEALE,FRIENDS OF MICHELLE HARRIS,8
CITIZENS TO ELECT ANTHONY BEALE,CITIZENS FOR CARRIE AUSTIN,4
CITIZENS TO ELECT ANTHONY BEALE,FRIENDS OF JOANN THOMPSON,4
CITIZENS TO ELECT ANTHONY BEALE,FRIENDS OF PATRICK D. THOMPSON,4
CITIZENS TO ELECT ANTHONY BEALE,ALDERMAN JOANN THOMPSON,3
CITIZENS TO ELECT ANTHONY BEALE,FRIENDS OF GREG MITCHELL,4
CITIZENS TO ELECT ANTHONY BEALE,ALDERMAN WALTER BURNETT,3
CITIZENS TO ELECT ANTHONY BEALE,ALDERMAN ANTHONY BEALE,3
CITIZENS TO ELECT ANTHONY BEALE,FRIENDS OF DEBRA SILVERSTEIN,3
CITIZENS TO ELECT ANTHONY BEALE,BEALE FOR CONGRESS,3
CITIZENS TO ELECT ANTHONY BEALE,FRIENDS OF TABARES,3
FRIENDS OF MICHAEL D. RODRIGUEZ,FRIENDS OF MATT O'SHEA,3
FRIENDS OF MICHAEL D. RODRIGUEZ,FRIENDS OF MICHELLE SMITH,3
FRIENDS OF MICHAEL D. RODRIGUEZ,FRIENDS OF RODERICK T. SAWYER,4
CITIZENS FOR MALDONADO,FRIENDS OF SOPHIA KING,3
CITIZENS FOR MALDONADO,FRIENDS OF MICHELE SMITH,4
CITIZENS FOR MALDONADO,FRIENDS OF MATT O'SHEA,3
CITIZENS FOR MALDONADO,CITIZENS TO ELECT DAVID MOORE,3
CITIZENS FOR MALDONADO,FRIENDS OF GEORGE CARDENAS,3
CITIZENS FOR MALDONADO,FRIENDS OF RODERICK T. SAWYER,5
CITIZENS FOR MALDONADO,FRIENDS OF LESLIE HAIRSTON,3
CITIZENS FOR MALDONADO,NEIGHBORS FOR HARRY OSTERMAN,4
CITIZENS FOR MALDONADO,CITIZENS FOR JOE MOORE,6
CITIZENS FOR MALDONADO,FRIENDS OF RAYMOND LOPEZ,3
CITIZENS FOR MALDONADO,FRIENDS OF NICHOLAS SPOSATO,3
CITIZENS FOR MALDONADO,CITIZENS FOR CAPPLEMAN,7
CITIZENS FOR MALDONADO,FRIENDS OF MICHELLE HARRIS,3
CITIZENS FOR MALDONADO,FRIENDS OF GREG MITCHELL,3
CITIZENS FOR MALDONADO,"COMMITTEE TO ELECT HOWARD BROOKINS, JR.",3
CITIZENS FOR MALDONADO,FRIENDS OF TABARES,3
FRIENDS OF SOPHIA KING,FRIENDS OF MICHELE SMITH,9
FRIENDS OF SOPHIA KING,FRIENDS OF MATT O'SHEA,6
FRIENDS OF SOPHIA KING,CITIZENS FOR ALDERMAN MICHAEL SCOTT JR.,4
FRIENDS OF SOPHIA KING,NEIGHBORS FOR DANIEL LA SPATA,3
FRIENDS OF SOPHIA KING,CITIZENS TO ELECT DAVID MOORE,4
FRIENDS OF SOPHIA KING,ALDERMAN GILBERT VILLEGAS,3
FRIENDS OF SOPHIA KING,CITIZENS FOR REBOYRAS,3
FRIENDS OF SOPHIA KING,FRIENDS OF WALTER BURNETT,3
FRIENDS OF SOPHIA KING,FRIENDS OF MICHELLE SMITH,3
FRIENDS OF SOPHIA KING,FRIENDS OF GEORGE CARDENAS,6
FRIENDS OF SOPHIA KING,FRIENDS OF RODERICK T. SAWYER,8
FRIENDS OF SOPHIA KING,ALDERMAN SCOTT WAGUESPACK,3
FRIENDS OF SOPHIA KING,CITIZENS FOR ALDERMAN REILLY,3
FRIENDS OF SOPHIA KING,FRIENDS OF LESLIE HAIRSTON,4
FRIENDS OF SOPHIA KING,NEIGHBORS FOR HARRY OSTERMAN,3
FRIENDS OF SOPHIA KING,CITIZENS FOR JOE MOORE,9
FRIENDS OF SOPHIA KING,ALDERMAN BRENDAN REILLY,3
FRIENDS OF SOPHIA KING,FRIENDS OF RAYMOND LOPEZ,5
FRIENDS OF SOPHIA KING,ALDERMAN GEORGE CARDENAS,3
FRIENDS OF SOPHIA KING,ALDERMAN MICHELLE A. HARRIS,3
FRIENDS OF SOPHIA KING,ALDERMAN CARRIE M. AUSTIN,3
FRIENDS OF SOPHIA KING,FRIENDS OF NICHOLAS SPOSATO,4
FRIENDS OF SOPHIA KING,ALDERMAN JAMES CAPPLEMAN,3
FRIENDS OF SOPHIA KING,FRIENDS OF EDWARD M. BURKE,5
FRIENDS OF SOPHIA KING,FRIENDS OF RAYMOND A. LOPEZ,4
FRIENDS OF SOPHIA KING,ALDERMAN PAT DOWELL,3
FRIENDS OF SOPHIA KING,CITIZENS FOR CAPPLEMAN,6
FRIENDS OF SOPHIA KING,FRIENDS OF MICHELLE HARRIS,5
FRIENDS OF SOPHIA KING,ALDERMAN TOM TUNNEY,3
FRIENDS OF SOPHIA KING,FRIENDS OF PATRICK D. THOMPSON,3
FRIENDS OF SOPHIA KING,ALDERMAN RAYMOND LOPEZ,3
FRIENDS OF SOPHIA KING,ALDERMAN JOANN THOMPSON,3
FRIENDS OF SOPHIA KING,ALDERMAN MICHELE SMITH,3
FRIENDS OF SOPHIA KING,ALDERMAN JOE MOORE,3
FRIENDS OF SOPHIA KING,ALDERMAN CARRIE AUSTIN,3
FRIENDS OF SOPHIA KING,ALDERMAN LESLIE HAIRSTON,3
FRIENDS OF SOPHIA KING,FRIENDS OF GREG MITCHELL,3
FRIENDS OF SOPHIA KING,ALDERMAN WALTER BURNETT,4
FRIENDS OF SOPHIA KING,24TH WARD DEMOCRATIC ORGANIZATION ALD. MICHAEL SCOTT,3
FRIENDS OF SOPHIA KING,CITIZENS FOR ARIEL REBOYRAS,3
FRIENDS OF SOPHIA KING,FRIENDS OF GEORGE A. CARDENAS,3
FRIENDS OF SOPHIA KING,FRIENDS OF CARRIE M. AUSTIN,4
FRIENDS OF SOPHIA KING,FRIENDS OF PATRICK THOMPSON,3
FRIENDS OF SOPHIA KING,ALDERMAN ANTHONY BEALE,3
FRIENDS OF SOPHIA KING,ALDERMAN EDWARD M. BURKE,3
FRIENDS OF SOPHIA KING,THE BURNHAM COMMITTEE ALDERMAN ED BURKE,3
FRIENDS OF SOPHIA KING,ALDERMAN HARRY OSTERMAN,3
FRIENDS OF SOPHIA KING,ALDERMAN RODERICK T. SAWYER,3
FRIENDS OF SOPHIA KING,ALDERMAN DEBRA SILVERSTEIN,3
FRIENDS OF SOPHIA KING,"ALDERMAN WALTER BURNETT, JR.",3
FRIENDS OF SOPHIA KING,FRIENDS OF TABARES,3
FRIENDS OF MICHELE SMITH,FRIENDS OF MATT O'SHEA,7
FRIENDS OF MICHELE SMITH,CITIZENS FOR ALDERMAN MICHAEL SCOTT JR.,3
FRIENDS OF MICHELE SMITH,NEIGHBORS FOR DANIEL LA SPATA,3
FRIENDS OF MICHELE SMITH,CITIZENS TO ELECT DAVID MOORE,5
FRIENDS OF MICHELE SMITH,ALDERMAN GILBERT VILLEGAS,3
FRIENDS OF MICHELE SMITH,CITIZENS FOR TOM TUNNEY,3
FRIENDS OF MICHELE SMITH,CITIZENS FOR REBOYRAS,5
FRIENDS OF MICHELE SMITH,FRIENDS OF WALTER BURNETT,4
FRIENDS OF MICHELE SMITH,FRIENDS OF MICHELLE SMITH,4
FRIENDS OF MICHELE SMITH,FRIENDS OF GEORGE CARDENAS,5
FRIENDS OF MICHELE SMITH,FRIENDS OF RODERICK T. SAWYER,8
FRIENDS OF MICHELE SMITH,ALDERMAN SCOTT WAGUESPACK,4
FRIENDS OF MICHELE SMITH,CITIZENS FOR ALDERMAN REILLY,5
FRIENDS OF MICHELE SMITH,FRIENDS OF LESLIE HAIRSTON,3
FRIENDS OF MICHELE SMITH,NEIGHBORS FOR HARRY OSTERMAN,4
FRIENDS OF MICHELE SMITH,CITIZENS FOR JOE MOORE,15
FRIENDS OF MICHELE SMITH,ALDERMAN BRENDAN REILLY,4
FRIENDS OF MICHELE SMITH,FRIENDS OF RAYMOND LOPEZ,7
FRIENDS OF MICHELE SMITH,ALDERMAN GEORGE CARDENAS,4
FRIENDS OF MICHELE SMITH,ALDERMAN MICHELLE A. HARRIS,3
FRIENDS OF MICHELE SMITH,ALDERMAN CARRIE M. AUSTIN,3
FRIENDS OF MICHELE SMITH,FRIENDS OF NICHOLAS SPOSATO,4
FRIENDS OF MICHELE SMITH,ALDERMAN JAMES CAPPLEMAN,3
FRIENDS OF MICHELE SMITH,FRIENDS OF EDWARD M. BURKE,7
FRIENDS OF MICHELE SMITH,FRIENDS OF RAYMOND A. LOPEZ,3
FRIENDS OF MICHELE SMITH,FRIENDS OF ED BURKE,5
FRIENDS OF MICHELE SMITH,ALDERMAN PAT DOWELL,4
FRIENDS OF MICHELE SMITH,CITIZENS FOR CAPPLEMAN,14
FRIENDS OF MICHELE SMITH,FRIENDS OF MICHELLE HARRIS,6
FRIENDS OF MICHELE SMITH,CITIZENS FOR CARRIE AUSTIN,3
FRIENDS OF MICHELE SMITH,ALDERMAN TOM TUNNEY,4
FRIENDS OF MICHELE SMITH,FRIENDS OF PATRICK D. THOMPSON,4
FRIENDS OF MICHELE SMITH,ALDERMAN RAYMOND LOPEZ,4
FRIENDS OF MICHELE SMITH,ALDERMAN JOANN THOMPSON,3
FRIENDS OF MICHELE SMITH,ALDERMAN MICHELE SMITH,4
FRIENDS OF MICHELE SMITH,ALDERMAN JOE MOORE,4
FRIENDS OF MICHELE SMITH,FRIENDS OF EDWARD BURKE,3
FRIENDS OF MICHELE SMITH,ALDERMAN CARRIE AUSTIN,3
FRIENDS OF MICHELE SMITH,MICHELE SMITH,3
FRIENDS OF MICHELE SMITH,ALDERMAN LESLIE HAIRSTON,3
FRIENDS OF MICHELE SMITH,FRIENDS OF GREG MITCHELL,3
FRIENDS OF MICHELE SMITH,ALDERMAN WALTER BURNETT,5
FRIENDS OF MICHELE SMITH,24TH WARD DEMOCRATIC ORGANIZATION ALD. MICHAEL SCOTT,3
FRIENDS OF MICHELE SMITH,CITIZENS FOR ARIEL REBOYRAS,3
FRIENDS OF MICHELE SMITH,FRIENDS OF GEORGE A. CARDENAS,4
FRIENDS OF MICHELE SMITH,FRIENDS OF CARRIE M. AUSTIN,3
FRIENDS OF MICHELE SMITH,FRIENDS OF PATRICK THOMPSON,4
FRIENDS OF MICHELE SMITH,ALDERMAN ANTHONY BEALE,3
FRIENDS OF MICHELE SMITH,ALDERMAN EDWARD M. BURKE,3
FRIENDS OF MICHELE SMITH,THE BURNHAM COMMITTEE ALDERMAN ED BURKE,3
FRIENDS OF MICHELE SMITH,CITIZENS FOR MICHELE SMITH,3
FRIENDS OF MICHELE SMITH,ALDERMAN HARRY OSTERMAN,3
FRIENDS OF MICHELE SMITH,ALDERMAN EMMA MITTS,3
FRIENDS OF MICHELE SMITH,FRIENDS OF EDWARD M BURKE,4
FRIENDS OF MICHELE SMITH,ALDERMAN RODERICK T. SAWYER,3
FRIENDS OF MICHELE SMITH,ALDERMAN DEBRA SILVERSTEIN,3
FRIENDS OF MICHELE SMITH,"ALDERMAN WALTER BURNETT, JR.",3
FRIENDS OF MICHELE SMITH,FRIENDS OF TABARES,3
FRIENDS OF MICHELE SMITH,CITIZENS FOR JAMES CAPPLEMAN,3
FRIENDS OF MATT O'SHEA,CITIZENS FOR ALDERMAN MICHAEL SCOTT JR.,3
FRIENDS OF MATT O'SHEA,NEIGHBORS FOR DANIEL LA SPATA,3
FRIENDS OF MATT O'SHEA,CITIZENS TO ELECT DAVID MOORE,7
FRIENDS OF MATT O'SHEA,CITIZENS FOR REBOYRAS,3
FRIENDS OF MATT O'SHEA,FRIENDS OF WALTER BURNETT,4
FRIENDS OF MATT O'SHEA,FRIENDS OF MICHELLE SMITH,5
FRIENDS OF MATT O'SHEA,FRIENDS OF GEORGE CARDENAS,4
FRIENDS OF MATT O'SHEA,FRIENDS OF RODERICK T. SAWYER,10
FRIENDS OF MATT O'SHEA,FRIENDS OF LESLIE HAIRSTON,7
