ID,Label,Count
3898,3898,1
4187,4187,2
4703,4703,1
24146,24146,1
22301,22301,2
14381,14381,1
3742,3742,1
4141,4141,1
4105,4105,1
5621,5621,1
14181,14181,1
7044,7044,1
18823,18823,1
6081,6081,1
4188,4188,4
19186,19186,1
19121,19121,1
3828,3828,2
23823,23823,1
17604,17604,1
4643,4643,1
4191,4191,2
4046,4046,1
10701,10701,1
22903,22903,1
7143,7143,1
3933,3933,3
21741,21741,1
17221,17221,1
15461,15461,1
5103,5103,1
18841,18841,1
21583,21583,1
22321,22321,1
13001,13001,1
19185,19185,1
4026,4026,1
20062,20062,1
15301,15301,1
22962,22962,1
4602,4602,1
3829,3829,1
12941,12941,1
9821,9821,1
9641,9641,1
3921,3921,2
16221,16221,1
4230,4230,1
4279,4279,1
15561,15561,1
20304,20304,1
6901,6901,1
8381,8381,2
6521,6521,1
8901,8901,1
19343,19343,1
11841,11841,1
20041,20041,1
20821,20821,1
15481,15481,1
21061,21061,1
4281,4281,1
10041,10041,2
10261,10261,1
4661,4661,1
19182,19182,1
19184,19184,1
13341,13341,1
9121,9121,1
23523,23523,1
16781,16781,1
20302,20302,2
18606,18606,1
4263,4263,1
21582,21582,1
22542,22542,1
5502,5502,1
4119,4119,1
7901,7901,1
4132,4132,1
8581,8581,1
4151,4151,2
19161,19161,1
6662,6662,1
9342,9342,1
14185,14185,1
7861,7861,1
20961,20961,1
19921,19921,1
13741,13741,1
13081,13081,1
17162,17162,1
21141,21141,1
14281,14281,1
3880,3880,1
22921,22921,1
21181,21181,1
21761,21761,1
20546,20546,2
10961,10961,1
22881,22881,1
17161,17161,1
14881,14881,1
19341,19341,1
13121,13121,2
11081,11081,1
4220,4220,2
8261,8261,1
19741,19741,1
4356,4356,1
20381,20381,1
6223,6223,1
21621,21621,1
19401,19401,1
17721,17721,1
3810,3810,1
3949,3949,1
5702,5702,1
3918,3918,1
4139,4139,1
10081,10081,1
4181,4181,1
17842,17842,1
10881,10881,1
22123,22123,1
23924,23924,1
21341,21341,1
22362,22362,1
3787,3787,2
18041,18041,1
24285,24285,1
4215,4215,1
21601,21601,1
24281,24281,1
4645,4645,1
21342,21342,1
6141,6141,1
3736,3736,1
11181,11181,2
19442,19442,1
22022,22022,1
4824,4824,2
20501,20501,1
22861,22861,1
4646,4646,1
14062,14062,1
4821,4821,1
8501,8501,1
12081,12081,1
9344,9344,1
19101,19101,1
5104,5104,1
22902,22902,1
23181,23181,1
7341,7341,1
17661,17661,1
3887,3887,1
15981,15981,1
13861,13861,1
21381,21381,1
24611,24611,1
21943,21943,1
4271,4271,1
6224,6224,1
22061,22061,1
5123,5123,1
7521,7521,1
4289,4289,1
4222,4222,1
17421,17421,1
12582,12582,1
4425,4425,1
19641,19641,1
3860,3860,1
10521,10521,1
15921,15921,1
24342,24342,1
16881,16881,1
19961,19961,1
9981,9981,1
16121,16121,1
4156,4156,1
4828,4828,1
4476,4476,1
18904,18904,1
6661,6661,1
3978,3978,1
19862,19862,2
19181,19181,1
20781,20781,1
9061,9061,1
3778,3778,1
12281,12281,1
12102,12102,1
21804,21804,1
11495,11495,1
9343,9343,1
21842,21842,1
11488,11488,1
4093,4093,1
4213,4213,1
24461,24461,1
22205,22205,1
23642,23642,1
3818,3818,1
20503,20503,1
18621,18621,1
4058,4058,1
10522,10522,1
19683,19683,1
20222,20222,1
23661,23661,1
4128,4128,1
8121,8121,1
21121,21121,1
4102,4102,1
20165,20165,1
19681,19681,1
22281,22281,1
18661,18661,1
10641,10641,1
11441,11441,1
15381,15381,1
3974,3974,1
4023,4023,1
25131,25131,1
25189,25189,1
24309,24309,1
24061,24061,1
24725,24725,1
24308,24308,1
25124,25124,1
25192,25192,1
25123,25123,1
25138,25138,1
25184,25184,1
14361,14361,1
25147,25147,3
25148,25148,2
25203,25203,1
25208,25208,2
18401,18401,1
25187,25187,4
16742,16742,1
25150,25150,1
25175,25175,1
25226,25226,1
25177,25177,1
25212,25212,1
25201,25201,1
25102,25102,1
18141,18141,1
25186,25186,3
24664,24664,1
25227,25227,3
25198,25198,1
24723,24723,1
25230,25230,1
25132,25132,1
25172,25172,1
24177,24177,1
0,0,0
