ID,Label,Count of Contributions
HARRY OSTERMAN,HARRY OSTERMAN,2
CITIZENS ALDERMAN MICHAEL SCOTT JR.,CITIZENS ALDERMAN MICHAEL SCOTT JR.,1
"MICHAEL SCOTT, JR.","MICHAEL SCOTT, JR.",1
MELISSA CONYEARS ERVIN,MELISSA CONYEARS ERVIN,2
ALDERMAN SCOTT,ALDERMAN SCOTT,1
CITIZENS FOR ALDERMAN MICHAEL SCOTT JR.,CITIZENS FOR ALDERMAN MICHAEL SCOTT JR.,7
FRIENDS OF MICHAEL D RODRIGUEZ,FRIENDS OF MICHAEL D RODRIGUEZ,4
NEIGHBORS FOR DANIEL LA SPATA,NEIGHBORS FOR DANIEL LA SPATA,3
CITIZENS FOR JASON ERVIN,CITIZENS FOR JASON ERVIN,6
CITIZENS TO ELECT DAVID MOORE,CITIZENS TO ELECT DAVID MOORE,16
SUSAN SADLOWSKI GARZA,SUSAN SADLOWSKI GARZA,4
MIKE RODRIGUEZ,MIKE RODRIGUEZ,1
ALDERMAN BRYON SIGCHO-LOPEZ,ALDERMAN BRYON SIGCHO-LOPEZ,1
FRIENDS OF VILLEGAS,FRIENDS OF VILLEGAS,2
CITZENS TO ELECT DAVID MOORE,CITZENS TO ELECT DAVID MOORE,1
ALD. MICHAEL RODRIGUEZ,ALD. MICHAEL RODRIGUEZ,3
FRIENDS OF ALDERMAN GIL VILLEGAS,FRIENDS OF ALDERMAN GIL VILLEGAS,1
CITIZENS TO ELECT FELIX CARDONA JR.,CITIZENS TO ELECT FELIX CARDONA JR.,3
JEANETTE B. TAYLOR,JEANETTE B. TAYLOR,1
ALDERMAN GILBERT VILLEGAS,ALDERMAN GILBERT VILLEGAS,7
MELISSA CONYEARS-ERVIN FOR CHICAGO,MELISSA CONYEARS-ERVIN FOR CHICAGO,1
ROD SAWYER,ROD SAWYER,3
CITIZENS FOR TOM TUNNEY,CITIZENS FOR TOM TUNNEY,6
CITIZENSE FOR BRENDAN REILLY,CITIZENSE FOR BRENDAN REILLY,1
CITIZENS FOR REBOYRAS,CITIZENS FOR REBOYRAS,11
FRIENDS OF SAMANTHAT NUGENT,FRIENDS OF SAMANTHAT NUGENT,1
GIL VILLEGAS,GIL VILLEGAS,4
ALDERMAN SCOTT WAGUESPAK,ALDERMAN SCOTT WAGUESPAK,1
CITIZENS FOR ARIEL E REBOYRAS,CITIZENS FOR ARIEL E REBOYRAS,2
FRIENDS OF WALTER BURNETT,FRIENDS OF WALTER BURNETT,18
FRIENDS OF BURNETT,FRIENDS OF BURNETT,1
DONATE TO RODERICK T. SAWYER,DONATE TO RODERICK T. SAWYER,1
FRIENDS OF MICHELLE SMITH,FRIENDS OF MICHELLE SMITH,8
FRIENDS OF GEORGE CARDENAS,FRIENDS OF GEORGE CARDENAS,12
FRIENDS OF RODERICK T. SAWYER,FRIENDS OF RODERICK T. SAWYER,21
SAMANTHA NUGENT,SAMANTHA NUGENT,3
ALDERMAN SCOTT WAGUESPACK,ALDERMAN SCOTT WAGUESPACK,7
CITIZENS FOR CONYEARS-ERVIN,CITIZENS FOR CONYEARS-ERVIN,1
ALDERMAN LESLIE HAIRSTON OF THE 5TH WARD,ALDERMAN LESLIE HAIRSTON OF THE 5TH WARD,1
CITIZENS FOR ALDERMAN REILLY,CITIZENS FOR ALDERMAN REILLY,10
CITIZENS FOR SCOTT,CITIZENS FOR SCOTT,1
FRIENDS OF LESLIE HAIRSTON,FRIENDS OF LESLIE HAIRSTON,17
FRIENDS OF HOWARD B. BROOKINS JR.,FRIENDS OF HOWARD B. BROOKINS JR.,1
CITIZENS OF REILLY,CITIZENS OF REILLY,1
STEPHANIE COLEMAN,STEPHANIE COLEMAN,3
MELISSA CONYEARS-ERVIN,MELISSA CONYEARS-ERVIN,3
JEANETTE B.TAYLOR,JEANETTE B.TAYLOR,1
FRIENDS OF MIKE RODRIGUEZ,FRIENDS OF MIKE RODRIGUEZ,1
FRIENDS OF GILBERT VILLEGAS FOR ALDERMAN,FRIENDS OF GILBERT VILLEGAS FOR ALDERMAN,2
FRIENDS OF TALIAFERRO,FRIENDS OF TALIAFERRO,1
ALD. DAVID MOORE,ALD. DAVID MOORE,1
ALD. GEORGE CARDENAS,ALD. GEORGE CARDENAS,3
CHRIS TALIAFERRO,CHRIS TALIAFERRO,4
ALD HOPKINS,ALD HOPKINS,1
CITIZENS FOR EMMA MITTS,CITIZENS FOR EMMA MITTS,3
GILBERT VILLEGAS (FROM MY FRIENDS OF LUIS ARROYO COMMITTEE TO PAY MY SHARE OF COSTS FOR A SHREDDING EVENT WE CO-SPONSORED),GILBERT VILLEGAS (FROM MY FRIENDS OF LUIS ARROYO COMMITTEE TO PAY MY SHARE OF COSTS FOR A SHREDDING EVENT WE CO-SPONSORED),1
NEIGHBORS FOR HARRY OSTERMAN,NEIGHBORS FOR HARRY OSTERMAN,9
CITIZENS FOR JOE MOORE,CITIZENS FOR JOE MOORE,32
HOPKINS FOR CHICAGO (ALD) (GENERAL CAMPAIGN CONTRIBUTION),HOPKINS FOR CHICAGO (ALD) (GENERAL CAMPAIGN CONTRIBUTION),1
ANTHONY BEALE,ANTHONY BEALE,7
ALDERMAN BRENDAN REILLY,ALDERMAN BRENDAN REILLY,12
FRIENDS OF RAYMOND LOPEZ,FRIENDS OF RAYMOND LOPEZ,13
ALDERMAN GEORGE CARDENAS,ALDERMAN GEORGE CARDENAS,11
ALDERMAN MICHELLE A. HARRIS,ALDERMAN MICHELLE A. HARRIS,3
PATRICK THOMPSON,PATRICK THOMPSON,4
ALD ROD SAWYER,ALD ROD SAWYER,1
ALDERMAN MICHAEL RODRIGUEZ,ALDERMAN MICHAEL RODRIGUEZ,1
CITIZENS FOR BRIAN HOPKINS,CITIZENS FOR BRIAN HOPKINS,1
CITIZENS FOR REILLY (ALDERMAN BRENDAN REILLY),CITIZENS FOR REILLY (ALDERMAN BRENDAN REILLY),2
WALTER BURNETT,WALTER BURNETT,6
ALDERMAN BRIAN HOPKINS,ALDERMAN BRIAN HOPKINS,3
BRIAN HOPKINS FOR CHICAGO,BRIAN HOPKINS FOR CHICAGO,2
ALDERMAN CARRIE M. AUSTIN,ALDERMAN CARRIE M. AUSTIN,3
FRIENDS OF NICHOLAS SPOSATO,FRIENDS OF NICHOLAS SPOSATO,8
ALD. EMMA MITTS,ALD. EMMA MITTS,1
RODERICK T. SAWYER,RODERICK T. SAWYER,3
JOE MOORE,JOE MOORE,5
ALDERMAN JAMES CAPPLEMAN,ALDERMAN JAMES CAPPLEMAN,7
FRIENDS OF EDWARD M. BURKE,FRIENDS OF EDWARD M. BURKE,23
ALDERMAN MOORE,ALDERMAN MOORE,2
CITIZENS FOR MITTS,CITIZENS FOR MITTS,1
FRIENDS OF RAYMOND A. LOPEZ,FRIENDS OF RAYMOND A. LOPEZ,7
ALDERMAN DERIK CURTIS,ALDERMAN DERIK CURTIS,1
FRIENDS OF ED BURKE,FRIENDS OF ED BURKE,25
ALD. MATT O'SHEA,ALD. MATT O'SHEA,2
ALDERMAN PATRICK THOMPSON,ALDERMAN PATRICK THOMPSON,1
ALDERMAN PAT DOWELL,ALDERMAN PAT DOWELL,8
CITIZENS FOR ALDERMAN MICHAEL SCOTT JR,CITIZENS FOR ALDERMAN MICHAEL SCOTT JR,2
CITIZENS FOR CAPPLEMAN,CITIZENS FOR CAPPLEMAN,28
CITIZENS FOR BEALE,CITIZENS FOR BEALE,2
CITIZENS FOR ALDERMAN DEBRA SILVERSTEIN,CITIZENS FOR ALDERMAN DEBRA SILVERSTEIN,1
CITIZENS FOR REILLY - ALDERMAN BRENDAN REILLY,CITIZENS FOR REILLY - ALDERMAN BRENDAN REILLY,1
COMMITTEE TO ELECT HOWARD BROOKINS,COMMITTEE TO ELECT HOWARD BROOKINS,4
FRIENDS OF CARRIE AUSTIN 34TH WARD COMMITTEEMAN,FRIENDS OF CARRIE AUSTIN 34TH WARD COMMITTEEMAN,4
FRIENDS OF MICHELLE HARRIS,FRIENDS OF MICHELLE HARRIS,17
FRIENDS OF HOPKINS,FRIENDS OF HOPKINS,1
FRIENDS OF JIM GARDINER,FRIENDS OF JIM GARDINER,1
SILVERSTEIN FOR ALDERMAN,SILVERSTEIN FOR ALDERMAN,1
